energy;distance;angle
-398.347485617;0.9500;97.0
-398.347572322;0.9500;98.0
-398.347583681;0.9500;99.0
-398.453030627;1.0000;100.0
-398.452844419;1.0000;101.0
-398.452586672;1.0000;102.0
-398.452258239;1.0000;103.0
-398.451860002;1.0000;104.0
-398.451392873;1.0000;105.0
-398.450857795;1.0000;106.0
-398.450255738;1.0000;107.0
-398.449587703;1.0000;108.0
-398.448854721;1.0000;109.0
-398.448057851;1.0000;110.0
-398.447198184;1.0000;111.0
-398.446276841;1.0000;112.0
-398.445294974;1.0000;113.0
-398.444253764;1.0000;114.0
-398.443154427;1.0000;115.0
-398.44199821;1.0000;116.0
-398.440786395;1.0000;117.0
-398.439520296;1.0000;118.0
-398.438201264;1.0000;119.0
-398.436830685;1.0000;120.0
-398.435409985;1.0000;121.0
-398.433940626;1.0000;122.0
-398.432424112;1.0000;123.0
-398.430861988;1.0000;124.0
-398.429255845;1.0000;125.0
-398.427607315;1.0000;126.0
-398.42591808;1.0000;127.0
-398.424189872;1.0000;128.0
-398.42242447;1.0000;129.0
-398.420623712;1.0000;130.0
-398.418789485;1.0000;131.0
-398.41692374;1.0000;132.0
-398.415028482;1.0000;133.0
-398.413105783;1.0000;134.0
-398.411157777;1.0000;135.0
-398.409186665;1.0000;136.0
-398.407194717;1.0000;137.0
-398.405184275;1.0000;138.0
-398.403157753;1.0000;139.0
-398.401117641;1.0000;140.0
-398.399066504;1.0000;141.0
-398.397006985;1.0000;142.0
-398.394941809;1.0000;143.0
-398.392873776;1.0000;144.0
-398.390805769;1.0000;145.0
-398.38874075;1.0000;146.0
-398.38668176;1.0000;147.0
-398.384631917;1.0000;148.0
-398.382594415;1.0000;149.0
-398.380572521;1.0000;150.0
-398.378569569;1.0000;151.0
-398.37658896;1.0000;152.0
-398.37463415;1.0000;153.0
-398.372708652;1.0000;154.0
-398.370816018;1.0000;155.0
-398.368959839;1.0000;156.0
-398.36714373;1.0000;157.0
-398.365371322;1.0000;158.0
-398.363646245;1.0000;159.0
-398.36197212;1.0000;160.0
-398.422493586;1.0000;70.0
-398.424678591;1.0000;71.0
-398.426783187;1.0000;72.0
-398.428807135;1.0000;73.0
-398.430750211;1.0000;74.0
-398.432612214;1.0000;75.0
-398.434392973;1.0000;76.0
-398.436092353;1.0000;77.0
-398.437710255;1.0000;78.0
-398.43924662;1.0000;79.0
-398.440701432;1.0000;80.0
-398.442074721;1.0000;81.0
-398.443366557;1.0000;82.0
-398.444577058;1.0000;83.0
-398.445706387;1.0000;84.0
-398.44675475;1.0000;85.0
-398.447722398;1.0000;86.0
-398.448609623;1.0000;87.0
-398.449416762;1.0000;88.0
-398.45014419;1.0000;89.0
-398.450792325;1.0000;90.0
-398.451361622;1.0000;91.0
-398.451852574;1.0000;92.0
-398.452265711;1.0000;93.0
-398.452601598;1.0000;94.0
-398.452860836;1.0000;95.0
-398.45304406;1.0000;96.0
-398.453151935;1.0000;97.0
-398.453185163;1.0000;98.0
-398.453144472;1.0000;99.0
-398.531025481;1.0500;100.0
-398.530795122;1.0500;101.0
-398.530494787;1.0500;102.0
-398.530125273;1.0500;103.0
-398.529687402;1.0500;104.0
-398.529182024;1.0500;105.0
-398.528610016;1.0500;106.0
-398.527972282;1.0500;107.0
-398.527269752;1.0500;108.0
-398.526503384;1.0500;109.0
-398.525674162;1.0500;110.0
-398.5247831;1.0500;111.0
-398.52383124;1.0500;112.0
-398.522819651;1.0500;113.0
-398.521749433;1.0500;114.0
-398.520621716;1.0500;115.0
-398.51943766;1.0500;116.0
-398.51819846;1.0500;117.0
-398.516905339;1.0500;118.0
-398.51555956;1.0500;119.0
-398.514162417;1.0500;120.0
-398.512715242;1.0500;121.0
-398.511219406;1.0500;122.0
-398.509676321;1.0500;123.0
-398.508087438;1.0500;124.0
-398.506454254;1.0500;125.0
-398.504778311;1.0500;126.0
-398.503061197;1.0500;127.0
-398.501304553;1.0500;128.0
-398.499510071;1.0500;129.0
-398.497679496;1.0500;130.0
-398.495814634;1.0500;131.0
-398.493917349;1.0500;132.0
-398.491989567;1.0500;133.0
-398.490033281;1.0500;134.0
-398.488050551;1.0500;135.0
-398.48604351;1.0500;136.0
-398.484014362;1.0500;137.0
-398.481965391;1.0500;138.0
-398.479898957;1.0500;139.0
-398.477817505;1.0500;140.0
-398.475723562;1.0500;141.0
-398.473619741;1.0500;142.0
-398.471508745;1.0500;143.0
-398.469393367;1.0500;144.0
-398.467276489;1.0500;145.0
-398.465161085;1.0500;146.0
-398.463050223;1.0500;147.0
-398.46094706;1.0500;148.0
-398.458854842;1.0500;149.0
-398.456776906;1.0500;150.0
-398.454716672;1.0500;151.0
